"collection1"
"quote","quoteLink"
"Chazz Reinhold:
Mom! The meat loaf! Fuck!","http://www.imdb.com/name/nm0002071/?ref_=tt_trv_qu"
"Jeremy Grey:
I didn't get a lot of sleep last night.","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"John Beckwith:
Soft mattress?","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"Jeremy Grey:
Yeah, it could have been the soft mattress. Or the midnight rape. Or the nude gay art show that took place in my room. One of those probably added to the lack of sleep.","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"[in a speech at Christina's wedding, quoting what John has just told her]"
"Claire Cleary:
True love is the soul's recognition of its counterpoint in another.","http://www.imdb.com/name/nm1046097/?ref_=tt_trv_qu"
"Jeremy Grey:
I hope you flip your bike over and knock your two front teeth out! You selfish son of a bitch! You leave me in the trenches taking grenades, John!","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"Claire Cleary:
So is it just about the money?","http://www.imdb.com/name/nm1046097/?ref_=tt_trv_qu"
"John Beckwith:
No no, it's about, uh, investing in companies that are ethically and morally defensible.","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"Sack Lodge:
Well, like what? Give me an example.","http://www.imdb.com/name/nm0177896/?ref_=tt_trv_qu"
"John Beckwith:
Like what? Well, there's the company that we have where we're taking the, the fur or the wool from sheep and we turn it into thread for homeless people to sew. And then they make it into cloth, which they in turn sew, then um... make little shirts and pants for other homeless people to sell. It's a pretty good deal.","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"Jeremy Grey:
[fumbling his words because Gloria is giving him a hand job under the dinner table]
People - People helping people.","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"Claire Cleary:
That's - that's very admirable.","http://www.imdb.com/name/nm1046097/?ref_=tt_trv_qu"
"John Beckwith:
Thank you. Although, don't make me out to be a saint just yet. We do turn a small profit. After all, someone has to pay for the, uh,","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"[motions to Jeremy]"
"John Beckwith:
Lap dancers for the big guy here.","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"Jeremy Grey:
[laughing pleasurably]
Oh, ha ha ha, he's joking around. It feels so good when he jokes.","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"Randolph:
[In unrated version]
You banging the daughter and the grandma? How much jam you got, man?","http://www.imdb.com/name/nm0133474/?ref_=tt_trv_qu"
"Jeremy Grey:
Jam, I...","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"Randolph:
Listen man, the family dog lives downstairs. I can wake him up for you if you like. His name is Snooky.","http://www.imdb.com/name/nm0133474/?ref_=tt_trv_qu"
"Jeremy Grey:
You could not be more wrong about what's happening here...","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"Randolph:
Just be gentle with her, OK? She be pushing 90.","http://www.imdb.com/name/nm0133474/?ref_=tt_trv_qu"
"Vivian:
Would you say you're completely full of shit or just 50%?","http://www.imdb.com/name/nm1401531/?ref_=tt_trv_qu"
"John Beckwith:
I hope just 50 but who knows.","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
"Bratty Kid:
I want a bicycle.","http://www.imdb.com/name/nm1975054/?ref_=tt_trv_qu"
"Jeremy Grey:
Listen, a bicycle is going to take a lot of balloons and frankly, uncle Jeremy is a bit tired. How about I make you something else?","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"Bratty Kid:
I just want a bicycle!","http://www.imdb.com/name/nm1975054/?ref_=tt_trv_qu"
"Jeremy Grey:
Why... why are you yelling at me?","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"Bratty Kid:
Make me a bicycle, clown!","http://www.imdb.com/name/nm1975054/?ref_=tt_trv_qu"
"Jeremy Grey:
All right, I'm going to make you a bicycle. But I don't want to make you a bicycle.","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"Bratty Kid:
Shut your mouth, funny guy, and make it.","http://www.imdb.com/name/nm1975054/?ref_=tt_trv_qu"
"Jeremy Grey:
[later]
Take that, you hyena, don't say thank you.","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"Jeremy Grey:
Todd, I notice you haven't even touched your food yet.","http://www.imdb.com/name/nm0000681/?ref_=tt_trv_qu"
"Todd Cleary:
I don't eat meat or fish.","http://www.imdb.com/name/nm1218757/?ref_=tt_trv_qu"
"Grandma Mary Cleary:
He's a homo.","http://www.imdb.com/name/nm0016687/?ref_=tt_trv_qu"
"John Beckwith:
I'd like to be pimps from Oakland or cowboys from Arizona but it's not Halloween. Grow up Peter Pan, Count Chocula.","http://www.imdb.com/name/nm0005562/?ref_=tt_trv_qu"
